index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
705,Liton Das,Bangladesh,31,616,3,481,0,4,4,3,22,104.9266407,10,194,2,0,2,0,1,24.25,12,338,1,0,3,2,1,30.72727273,19,278,2,0,1,2,2,16.35294118,https://i.ibb.co/YN3dFnR/player.png
706,Mustafizur Rahman,Bangladesh,14,43,5,57,0,0,0,5,4.777777778,61.02040816,10,35,4,0,0,0,4,5.833333333,7,32,1,0,0,0,2,5.333333333,7,11,4,0,0,0,3,3.666666667,https://i.ibb.co/YN3dFnR/player.png
707,SW Billings,England,27,391,5,300,0,2,0,2,17.77272727,105.1475005,10,164,4,0,1,0,1,27.33333333,8,81,1,0,0,0,0,11.57142857,19,310,4,0,2,0,2,20.66666667,https://i.ibb.co/YN3dFnR/player.png
708,DJ Willey,England,18,166,8,131,0,0,0,0,16.6,113.7881741,10,92,5,0,0,0,0,18.4,7,53,2,0,0,0,0,10.6,11,113,6,0,0,0,0,22.6,https://i.ibb.co/YN3dFnR/player.png
709,MJ Santner,New Zealand,36,335,15,273,0,0,2,4,15.95238095,124.7280196,10,82,4,0,0,1,1,13.66666667,24,226,11,0,0,2,3,17.38461538,12,109,4,0,0,0,1,13.625,https://i.ibb.co/YN3dFnR/player.png
713,KD Shah,Hong Kong,29,499,7,467,0,3,2,5,22.68181818,87.36597912,10,155,2,0,1,0,2,19.375,1,7,0,0,0,0,0,7,28,492,7,0,3,2,5,23.42857143,https://i.ibb.co/YN3dFnR/player.png
716,Anshuman Rath,Hong Kong,18,303,2,333,0,0,2,1,18.9375,87.05156832,10,211,1,0,0,2,0,23.44444444,2,21,1,0,0,0,0,21,16,282,1,0,0,2,1,18.8,https://i.ibb.co/YN3dFnR/player.png
717,TP Ura,Papua New Guinea,18,536,3,403,1,2,4,0,35.73333333,123.485301,10,325,3,1,1,2,0,46.42857143,4,243,2,1,1,1,0,121.5,14,293,1,0,1,3,0,22.53846154,https://i.ibb.co/YN3dFnR/player.png
718,L Siaka,Papua New Guinea,17,251,2,224,0,0,3,2,16.73333333,99.21151945,10,198,2,0,0,2,1,24.75,2,56,2,0,0,0,0,0,15,195,0,0,0,3,2,13,https://i.ibb.co/YN3dFnR/player.png
719,A Vala,Papua New Guinea,18,413,3,388,0,2,4,0,27.53333333,95.44818287,10,285,2,0,2,2,0,35.625,2,88,1,0,1,0,0,88,16,325,2,0,1,4,0,23.21428571,https://i.ibb.co/YN3dFnR/player.png
721,MD Dai,Papua New Guinea,7,103,0,124,0,0,1,0,14.71428571,81.21428571,7,103,0,0,0,1,0,14.71428571,0,31,1,0,0,0,0,13,7,103,0,0,0,1,0,14.71428571,https://i.ibb.co/YN3dFnR/player.png
722,CJA Amini,Papua New Guinea,13,248,4,220,0,1,3,2,27.55555556,84.82600733,10,203,3,0,1,2,2,29,2,79,1,0,1,0,0,79,11,169,3,0,0,3,2,21.125,https://i.ibb.co/YN3dFnR/player.png
723,JNT Vare,Papua New Guinea,6,65,0,71,0,0,1,0,10.83333333,82.52765753,6,65,0,0,0,1,0,10.83333333,0,31,1,0,0,0,0,13,6,65,0,0,0,1,0,10.83333333,https://i.ibb.co/YN3dFnR/player.png
725,N Vanua,Papua New Guinea,16,258,7,192,0,1,1,2,28.66666667,118.8658672,10,167,4,0,1,1,1,27.83333333,3,48,1,0,0,0,0,24,13,210,6,0,1,1,2,30,https://i.ibb.co/YN3dFnR/player.png
728,JH Davey,Scotland,9,76,5,59,0,0,0,0,19,121.7044992,9,76,5,0,0,0,0,19,0,31,1,0,0,0,0,13,9,76,5,0,0,0,0,19,https://i.ibb.co/YN3dFnR/player.png
729,AC Evans,Scotland,5,1,1,10,0,0,0,4,0.25,6.666666667,5,1,1,0,0,0,4,0.25,1,0,0,0,0,0,1,0,4,1,1,0,0,0,3,0.333333333,https://i.ibb.co/YN3dFnR/player.png
730,MRJ Watt,Scotland,11,53,6,41,0,0,0,1,10.6,116.2554113,10,53,6,0,0,0,0,13.25,1,1,0,0,0,0,0,1,10,52,6,0,0,0,1,13,https://i.ibb.co/YN3dFnR/player.png
731,MK Pandey,India,32,709,16,583,0,3,7,2,44.3125,109.7058148,10,171,7,0,1,1,0,57,11,197,5,0,0,4,0,32.83333333,21,512,11,0,3,3,2,51.2,https://i.ibb.co/YN3dFnR/player.png
732,KM Jadhav,India,6,122,1,102,0,1,0,0,24.4,112.3008936,6,122,1,0,1,0,0,24.4,1,27,0,0,0,0,0,27,5,95,1,0,1,0,0,23.75,https://i.ibb.co/YN3dFnR/player.png
734,AR Patel,India,8,75,4,57,0,0,0,0,18.75,138.7689394,8,75,4,0,0,0,0,18.75,4,23,2,0,0,0,0,11.5,4,52,2,0,0,0,0,26,https://i.ibb.co/YN3dFnR/player.png
737,Mohammad Shahzad (2),United Arab Emirates,20,281,3,244,0,1,2,2,16.52941176,97.09296653,10,81,0,0,0,1,1,8.1,10,82,2,0,0,0,1,10.25,10,199,1,0,1,2,1,22.11111111,https://i.ibb.co/YN3dFnR/player.png
741,Mohammad Naveed,United Arab Emirates,23,176,8,148,0,0,0,4,11.73333333,104.169409,10,84,2,0,0,0,2,10.5,15,100,4,0,0,0,4,9.090909091,8,76,4,0,0,0,0,19,https://i.ibb.co/YN3dFnR/player.png
745,N Madziva,Zimbabwe,10,88,5,81,0,0,0,1,17.6,92.42082479,10,88,5,0,0,0,1,17.6,4,31,3,0,0,0,0,31,6,57,2,0,0,0,1,14.25,https://i.ibb.co/YN3dFnR/player.png
747,DM de Silva,Sri Lanka,15,331,1,311,0,2,2,0,23.64285714,99.68272802,10,185,1,0,1,1,0,20.55555556,6,167,0,0,1,2,0,27.83333333,9,164,1,0,1,0,0,20.5,https://i.ibb.co/YN3dFnR/player.png
748,TAM Siriwardana,Sri Lanka,19,275,3,217,0,0,3,4,17.1875,98.59268269,10,101,1,0,0,1,3,11.22222222,4,73,0,0,0,1,1,18.25,15,202,3,0,0,2,3,16.83333333,https://i.ibb.co/YN3dFnR/player.png
750,WP Masakadza,Zimbabwe,7,36,4,39,0,0,0,0,12,127.9081633,7,36,4,0,0,0,0,12,2,7,1,0,0,0,0,7,5,29,3,0,0,0,0,14.5,https://i.ibb.co/YN3dFnR/player.png
751,Usman Ghani,Afghanistan,19,446,2,423,0,2,3,0,26.23529412,92.81511051,10,264,2,0,1,2,0,33,0,31,1,0,0,0,0,13,19,446,2,0,2,3,0,26.23529412,https://i.ibb.co/YN3dFnR/player.png
753,CA Young,Ireland,7,21,3,29,0,0,0,1,5.25,60.38961039,7,21,3,0,0,0,1,5.25,2,2,1,0,0,0,1,2,5,19,2,0,0,0,0,6.333333333,https://i.ibb.co/YN3dFnR/player.png
755,K Rabada,South Africa,6,37,2,41,0,0,0,2,9.25,73.01587302,6,37,2,0,0,0,2,9.25,5,37,2,0,0,0,1,12.33333333,1,0,0,0,0,0,1,0,https://i.ibb.co/YN3dFnR/player.png
756,LM Jongwe,Zimbabwe,7,60,1,65,0,0,1,2,10,89.1084855,7,60,1,0,0,1,2,10,2,10,1,0,0,0,0,10,5,50,0,0,0,1,2,10,https://i.ibb.co/YN3dFnR/player.png
757,GSNFG Jayasuriya,Sri Lanka,16,241,0,228,0,0,4,1,15.0625,88.09887126,10,118,0,0,0,1,1,11.8,6,142,0,0,0,3,1,23.66666667,10,99,0,0,0,1,0,9.9,https://i.ibb.co/YN3dFnR/player.png
758,PVD Chameera,Sri Lanka,10,33,5,42,0,0,0,2,6.6,72.07142857,10,33,5,0,0,0,2,6.6,2,3,1,0,0,0,1,3,8,30,4,0,0,0,1,7.5,https://i.ibb.co/YN3dFnR/player.png
759,MD Shanaka,Sri Lanka,39,483,8,462,0,1,3,7,15.58064516,82.51025955,10,130,2,0,0,1,0,16.25,13,124,3,0,0,1,4,12.4,26,359,5,0,1,2,3,17.0952381,https://i.ibb.co/YN3dFnR/player.png
760,Zeeshan Maqsood,Oman,23,484,4,457,0,2,5,2,25.47368421,93.50071713,10,168,3,0,1,1,0,24,0,31,1,0,0,0,0,13,23,484,4,0,2,5,2,25.47368421,https://i.ibb.co/YN3dFnR/player.png
