Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,total_recent_ball_faced,form_strike_rate,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,total_home_ball_faced,home_strike_rate,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,total_away_ball_faced,away_strike_rate,overall_Percentage,recent_Percentage,home_Percentage,away_Percentage
1491,1492,Wasim Ali,Oman,1,1,1,4,0,0,0,0,0,25,1,1,1,0,0,0,0,0,0,0,0,31,1,0,0,0,0,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1492,1493,MA Wood,England,2,10,2,12,0,0,0,0,0,111.1111111,2,10,2,0,0,0,0,0,0,0,0,31,1,0,0,0,0,13,0,0,2,10,2,0,0,0,0,0,0,0,0,0,0,0
1493,1494,LH Ferguson,New Zealand,1,1,0,3,0,0,0,0,1,33.33333333,1,1,0,0,0,0,0,1,0,0,0,31,1,0,0,0,0,13,0,0,1,1,0,0,0,0,0,1,0,0,14.6,14.6,0,17
1494,1495,Sahibzada Farhan,Pakistan,3,40,0,48,0,0,1,1,13.33333333,37.5,3,40,0,0,0,1,1,13.33333333,0,0,0,31,1,0,0,0,0,13,0,0,3,40,0,0,0,1,1,13.33333333,0,0,16.9,16.9,0,19.7
1495,1496,AK Kitchen,New Zealand,4,38,2,32,0,0,0,0,19,154.3859649,4,38,2,0,0,0,0,19,0,0,4,38,2,0,0,0,0,19,0,0,0,36.5,1,0,0,0,0,13,0,0,29.1,29.1,32.9,0
1496,1497,PKD Chase,Ireland,4,7,3,13,0,0,0,1,7,64.58333333,4,7,3,0,0,0,1,7,0,0,4,7,3,0,0,0,1,7,0,0,0,36.5,1,0,0,0,0,13,0,0,58.3,58.3,65.9,0
1497,1498,NM Lyon,Australia,1,4,1,4,0,0,0,0,0,100,1,4,1,0,0,0,0,0,0,0,0,31,1,0,0,0,0,13,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
1498,1499,B Stanlake,Australia,2,9,1,13,0,0,0,0,9,72.61904762,2,9,1,0,0,0,0,9,0,0,0,31,1,0,0,0,0,13,0,0,2,9,1,0,0,0,0,9,0,0,29.1,29.1,0,34
1499,1500,Nazmul Islam,Bangladesh,3,14,2,14,0,0,0,0,14,123.3333333,3,14,2,0,0,0,0,14,0,0,1,1,1,0,0,0,0,0,0,0,2,13,1,0,0,0,0,13,0,0,43.7,43.7,0,34
1500,1501,DE Budge,Scotland,4,60,2,63,0,0,0,0,30,87.5297619,4,60,2,0,0,0,0,30,0,0,2,28,0,0,0,0,0,14,0,0,2,32,2,0,0,0,0,0,0,0,29.1,29.1,16.5,0
1501,1502,Mohammad Nawaz (3),Pakistan,5,34,2,38,0,0,0,1,11.33333333,75.55555556,5,34,2,0,0,0,1,11.33333333,0,0,3,21,2,0,0,0,1,21,0,0,2,13,0,0,0,0,0,6.5,0,0,24.3,24.3,49.4,17
1502,1503,C Jonker,South Africa,2,57,0,30,0,0,1,0,28.5,178,2,57,0,0,0,1,0,28.5,0,0,2,57,0,0,0,1,0,28.5,0,0,0,36.5,1,0,0,0,0,13,0,0,15.7,15.7,17.7,0
1503,1504,Aamer Yamin,Pakistan,1,15,1,6,0,0,0,0,0,250,1,15,1,0,0,0,0,0,0,0,0,31,1,0,0,0,0,13,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0
1504,1505,RR Emrit,West Indies,3,17,0,27,0,0,0,0,5.666666667,79.44444444,3,17,0,0,0,0,0,5.666666667,0,0,0,31,1,0,0,0,0,13,0,0,3,17,0,0,0,0,0,5.666666667,0,0,14.6,14.6,0,17
1505,1506,MJ Swepson,Australia,2,15,2,9,0,0,0,0,0,157.5,2,15,2,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
1506,1507,AM McCarthy,West Indies,1,5,0,8,0,0,0,0,5,62.5,1,5,0,0,0,0,0,5,0,0,0,31,1,0,0,0,0,13,0,0,1,5,0,0,0,0,0,5,0,0,14.6,14.6,0,17
1507,1508,CB Sole,Scotland,1,4,1,2,0,0,0,0,0,200,1,4,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,36.5,1,0,0,0,0,13,0,0,0,0,0,0
1508,1509,B Muzarabani,Zimbabwe,5,6,3,12,0,0,0,3,3,26.66666667,5,6,3,0,0,0,3,3,0,0,2,1,1,0,0,0,1,1,0,0,3,5,2,0,0,0,2,5,0,0,36.4,36.4,32.9,51
