,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,thirties,fifties,zeros,overall_average,strike_rate,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
132,133,DJG Sammy,West Indies,50,587,16,422,0,5,0,3,17.26470588,130.1973349,21,29,225,4,13.23529412,0,0,2,3,0,0,10,114,1,0,0,0,4,19,0,0,362,12,21.29411765,0,0,1,2,0,0
133,134,AN Cook,England,4,61,0,55,0,0,0,0,15.25,109.9454365,2,2,24,0,12,0,0,0,0,0,0,4,61,0,0,0,0,0,15.25,0,0,37,0,18.5,0,0,0,0,0,0
134,135,IJL Trott,England,7,138,1,149,0,2,1,1,23,71.34952725,3,4,11,1,5.5,0,0,1,0,0,0,7,138,1,2,1,0,1,23,0,0,127,0,31.75,0,0,0,2,1,0
135,136,Salman Butt,Pakistan,21,488,2,469,0,5,2,1,25.68421053,93.84828716,1,20,1,1,0,0,0,0,0,0,0,10,285,1,3,2,0,1,31.66666667,0,0,487,1,25.63157895,0,0,1,5,2,0
136,137,Imran Nazir,Pakistan,23,495,3,377,0,3,3,2,24.75,114.6102812,0,23,,,,,,,,,,10,180,1,0,1,0,0,18,0,0,495,3,24.75,0,0,2,3,3,0
137,138,Misbah-ul-Haq,Pakistan,32,771,12,720,0,6,3,1,38.55,101.0319633,1,31,87,1,0,0,0,0,0,1,0,10,214,1,2,0,0,3,30.57142857,0,0,684,11,34.2,0,0,1,6,2,0
138,139,Kamran Akmal,Pakistan,51,964,8,829,0,9,5,7,22.41860465,94.01155763,1,50,0,0,0,0,0,1,0,0,0,10,144,2,2,0,0,0,14.4,0,0,964,8,22.95238095,0,0,6,9,5,0
139,140,Yasir Arafat,Pakistan,11,92,4,79,0,0,0,0,13.14285714,123.5337828,0,11,,,,,,,,,,10,90,0,0,0,0,3,12.85714286,0,0,92,4,13.14285714,0,0,0,0,0,0
140,141,Shoaib Akhtar,Pakistan,6,21,4,16,0,0,0,1,10.5,119.4444444,0,6,,,,,,,,,,6,21,1,0,0,0,4,10.5,0,0,21,4,10.5,0,0,1,0,0,0
141,142,Farhad Reza,Bangladesh,8,65,1,89,0,0,0,1,9.285714286,68.25835623,4,4,22,1,7.333333333,0,0,1,0,0,0,8,65,1,0,0,0,1,9.285714286,0,0,43,0,10.75,0,0,0,0,0,0
142,143,Mushfiqur Rahim,Bangladesh,72,1219,15,1034,0,6,5,5,21.38596491,103.1912535,30,42,534,3,19.77777778,0,0,1,3,2,0,10,146,2,1,1,0,1,16.22222222,0,0,685,12,22.83333333,0,0,4,3,3,0
143,144,Shakib Al Hasan,Bangladesh,70,1481,9,1215,0,10,9,5,24.27868852,101.8102496,30,40,652,7,28.34782609,0,0,3,5,4,0,10,302,1,1,3,0,2,37.75,0,0,829,2,21.81578947,0,0,2,5,5,0
