index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
912,R Pillai,Germany,3,24,1,32,0,0,0,1,12,75.84541063,3,24,1,0,0,0,1,12,0,31,1,0,0,0,0,13,3,24,1,0,0,0,1,12,https://i.ibb.co/YN3dFnR/player.png
913,A Sarma,Germany,1,28,0,36,0,0,0,0,28,77.77777778,1,28,0,0,0,0,0,28,0,31,1,0,0,0,0,13,1,28,0,0,0,0,0,28,https://i.ibb.co/YN3dFnR/player.png
914,Amir Mangal,Germany,6,56,2,39,0,0,0,0,14,154.3269231,6,56,2,0,0,0,0,14,0,31,1,0,0,0,0,13,6,56,2,0,0,0,0,14,https://i.ibb.co/YN3dFnR/player.png
915,MJ Richardson,Germany,5,117,3,103,0,0,2,0,58.5,114.245098,5,117,3,0,0,2,0,58.5,0,31,1,0,0,0,0,13,5,117,3,0,0,2,0,58.5,https://i.ibb.co/YN3dFnR/player.png
916,Zishan Shah,Denmark,5,88,1,87,0,1,0,0,22,93.33333333,5,88,1,0,1,0,0,22,0,31,1,0,0,0,0,13,5,88,1,0,1,0,0,22,https://i.ibb.co/YN3dFnR/player.png
917,Abdul Hashim,Denmark,3,34,1,40,0,0,0,1,17,53.05555556,3,34,1,0,0,0,1,17,0,31,1,0,0,0,0,13,3,34,1,0,0,0,1,17,https://i.ibb.co/YN3dFnR/player.png
918,Umar Adam,Maldives,6,126,1,108,0,1,1,0,25.2,97.65197604,6,126,1,0,1,1,0,25.2,0,31,1,0,0,0,0,13,6,126,1,0,1,1,0,25.2,https://i.ibb.co/YN3dFnR/player.png
919,Ahmed Hassan,Maldives,5,63,0,101,0,0,0,0,12.6,59.84693085,5,63,0,0,0,0,0,12.6,0,31,1,0,0,0,0,13,5,63,0,0,0,0,0,12.6,https://i.ibb.co/YN3dFnR/player.png
920,Mohamed Rishwan,Maldives,6,130,0,129,0,1,1,0,21.66666667,85.86812294,6,130,0,0,1,1,0,21.66666667,0,31,1,0,0,0,0,13,6,130,0,0,1,1,0,21.66666667,https://i.ibb.co/YN3dFnR/player.png
921,MNR Cooray,Maldives,3,99,1,80,0,1,1,0,49.5,101.8693694,3,99,1,0,1,1,0,49.5,0,31,1,0,0,0,0,13,3,99,1,0,1,1,0,49.5,https://i.ibb.co/YN3dFnR/player.png
922,Shafraz Jaleel,Maldives,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,31,1,0,0,0,0,13,2,0,0,0,0,0,2,0,https://i.ibb.co/YN3dFnR/player.png
923,Hassan Rasheed,Maldives,3,49,0,50,0,0,1,0,16.33333333,91.48148148,3,49,0,0,0,1,0,16.33333333,0,31,1,0,0,0,0,13,3,49,0,0,0,1,0,16.33333333,https://i.ibb.co/YN3dFnR/player.png
924,WJ Malinda,Maldives,2,11,1,9,0,0,0,0,11,112.5,2,11,1,0,0,0,0,11,0,31,1,0,0,0,0,13,2,11,1,0,0,0,0,11,https://i.ibb.co/YN3dFnR/player.png
925,Ameel Mauroof,Maldives,3,18,1,34,0,0,0,0,9,54.56349206,3,18,1,0,0,0,0,9,0,31,1,0,0,0,0,13,3,18,1,0,0,0,0,9,https://i.ibb.co/YN3dFnR/player.png
926,DF Jacobs,Thailand,8,101,0,162,0,0,0,1,12.625,56.78475422,8,101,0,0,0,0,1,12.625,4,43,0,0,0,0,1,10.75,4,58,0,0,0,0,0,14.5,https://i.ibb.co/YN3dFnR/player.png
927,Md Shafiqul Haque,Thailand,4,88,1,66,0,0,2,0,29.33333333,129.4604701,4,88,1,0,0,2,0,29.33333333,0,31,1,0,0,0,0,13,4,88,1,0,0,2,0,29.33333333,https://i.ibb.co/YN3dFnR/player.png
928,HJ Jordaan,Thailand,8,166,1,214,0,0,3,0,23.71428571,72.44387381,8,166,1,0,0,3,0,23.71428571,4,72,0,0,0,1,0,18,4,94,1,0,0,2,0,31.33333333,https://i.ibb.co/YN3dFnR/player.png
929,N Pathan,Thailand,8,149,2,132,0,1,2,1,24.83333333,88.34077381,8,149,2,0,1,2,1,24.83333333,4,15,0,0,0,0,1,3.75,4,134,2,0,1,2,0,67,https://i.ibb.co/YN3dFnR/player.png
930,Z Hoque,Thailand,7,95,1,100,0,0,0,0,15.83333333,100.8056758,7,95,1,0,0,0,0,15.83333333,4,49,1,0,0,0,0,16.33333333,3,46,0,0,0,0,0,15.33333333,https://i.ibb.co/YN3dFnR/player.png
931,Anowarul Islam,Thailand,4,15,0,21,0,0,0,1,3.75,58.33333333,4,15,0,0,0,0,1,3.75,0,31,1,0,0,0,0,13,4,15,0,0,0,0,1,3.75,https://i.ibb.co/YN3dFnR/player.png
932,S Hongsi,Thailand,3,27,3,16,0,0,0,0,0,170,3,27,3,0,0,0,0,0,0,31,1,0,0,0,0,13,3,27,3,0,0,0,0,0,https://i.ibb.co/YN3dFnR/player.png
933,BBJL Perera,Italy,4,136,0,94,0,1,1,0,34,125.6407563,4,136,0,0,1,1,0,34,0,31,1,0,0,0,0,13,4,136,0,0,1,1,0,34,https://i.ibb.co/YN3dFnR/player.png
